City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,yellowknife,62.456,-114.3525,-11.71,72,20,5.14,CA,1680092871
1,san patricio,28.017,-97.5169,17.13,54,95,3.62,US,1680092871
2,bluff,-46.6,168.3333,5.45,68,20,7.58,NZ,1680092872
3,liverpool,53.4106,-2.9779,14.05,86,75,6.69,GB,1680092811
4,atuona,-9.8,-139.0333,26.91,80,22,6.77,PF,1680092873
5,hermanus,-34.4187,19.2345,18.78,67,88,3.5,ZA,1680092874
6,ilhabela,-23.7781,-45.3581,25.23,85,100,1.33,BR,1680092875
7,constitucion,-35.3333,-72.4167,11.99,64,0,4.15,CL,1680092876
8,lorengau,-2.0226,147.2712,27.64,73,25,1.19,PG,1680092878
9,nanortalik,60.1432,-45.2371,-4.51,87,29,2.54,GL,1680092879
10,sioux lookout,50.1001,-91.917,-17.96,85,20,2.57,CA,1680092879
11,faanui,-16.4833,-151.75,28.14,71,54,4.95,PF,1680092880
12,new norfolk,-42.7826,147.0587,14.72,80,100,0.89,AU,1680092881
13,sanmihaiu roman,45.7044,21.0889,7.38,36,95,3.74,RO,1680092882
14,khatanga,71.9667,102.5,-25.48,100,100,1.83,RU,1680092883
15,hilo,19.7297,-155.09,23.49,86,100,4.63,US,1680092603
16,sicuani,-14.2694,-71.2261,8.16,84,98,1.15,PE,1680092884
17,waingapu,-9.6567,120.2641,28.07,73,61,2.35,ID,1680092885
18,kapaa,22.0752,-159.319,24.18,92,75,5.14,US,1680092886
19,ugoofaaru,5.6667,73.0,28.07,72,25,3.36,MV,1680092755
20,rikitea,-23.1203,-134.9692,26.19,76,86,1.49,PF,1680092888
21,puerto ayora,-0.7393,-90.3518,24.75,99,23,2.24,EC,1680092889
22,bethel,41.3712,-73.414,3.9,69,0,0.0,US,1680092890
23,mayor pablo lagerenza,-19.9309,-60.7718,26.78,70,100,6.34,PY,1680092890
24,bredasdorp,-34.5322,20.0403,19.96,47,67,6.08,ZA,1680092891
25,cape town,-33.9258,18.4232,21.73,40,20,7.72,ZA,1680092735
26,kushiro,42.975,144.3747,2.16,77,51,1.46,JP,1680092893
27,busselton,-33.65,115.3333,22.02,55,5,6.03,AU,1680092894
28,vaini,-21.2,-175.2,23.09,100,20,1.03,TO,1680092895
29,dergachi,51.2328,48.7659,14.3,50,93,5.14,RU,1680092895
30,havelock,34.8791,-76.9013,9.97,91,100,7.2,US,1680092896
31,castro,-24.7911,-50.0119,20.41,88,73,1.0,BR,1680092897
32,east london,-33.0153,27.9116,21.52,52,0,12.35,ZA,1680092898
33,vila velha,-20.3297,-40.2925,29.41,73,40,2.06,BR,1680092898
